ここでは料理に必要な食材と、獲得できるエナジー量についての一覧を掲載している。
大量の食材を消費するレシピほど、食材1個あたりのエナジーが多くなる傾向にある。
下表には初回作成時（レシピレベル0）に得られるエナジーを示しているが、各料理の作成回数を重ねる（レシピレベルを上げる）ほど、より多くのエナジーを摂取できるようになる。

**カレー・シチュー [#curry_stew]
//【編集者の方へ】このページはWikiの中でも閲覧の多いページです。大きなレイアウト変更を行う場合はサンドボックスを活用し、「編集相談板」にてご連絡をお願いします。

#nobr{{{
#cssbox(width: fit-content; padding-right: 10px; margin-bottom: -10px; background: #F1F1EA; border-radius: 8px 8px 0 0;){{
&color(#A4A48F){&size(13){''　カレー・シチュ&#12540;　''};| [[&color(#F1F1EA){%%%&color(#528BB9){サラ&#12480; &fa(fa-solid fa-caret-down fa-sm);};%%%};>#salad]] | [[&color(#F1F1EA){%%%&color(#528BB9){デザー&#12488;・ドリン&#12463; &fa(fa-solid fa-caret-down fa-sm);};%%%};>#drink_dessert]]};
}}
}}}
#tablesort{{
|RIGHT:|CENTER:|110|142|RIGHT:|RIGHT:|c
|~ |~画像|~料理名|~食材|~計|~エナ&br;ジー|h
| -|&ref(./mixedcurry.png,20%);|ごちゃまぜカレー|他のレシピに該当しない組み合わせ|-|0|
|01|&ref(./fancyapplecurry.png,20%);|とくせんリンゴカレー&tooltip(&tip;){りんごの自然な甘みを感じる&br;シンプルなカレー。};|&size(11){とくせんリンゴ};&icon(20,とくせんリンゴ);×7|7|748|
|02|&ref(./grilledtailcurry.png,20%);|あぶりテールカレー&tooltip(&tip;){テールのうまみが&br;ルーをワンランク上の味に。};|&size(11){おいしいシッポ};&icon(20,おいしいシッポ);×8&br;&size(11){げきからハーブ};&icon(20,げきからハーブ);×25|33|7483|
|03|&ref(./solarpowertomatocurry.png,20%);|サンパワートマトカレー&tooltip(&tip;){太陽の光で真っ赤に育ったトマトで&br;つくったカレー。};|&size(11){あんみんトマト};&icon(20,あんみんトマト);×10&br;&size(11){げきからハーブ};&icon(20,げきからハーブ);×5|15|2078|
|04|&ref(./dreameaterbuttercurry.png,20%);|ぜったいねむりバターカレー&tooltip(&tip;){深いねむりをテーマに&br;食材を選んだカレー。};|&size(11){ほっこりポテト};&icon(20,ほっこりポテト);×18&br;&size(11){あんみんトマト};&icon(20,あんみんトマト);×15&br;&size(9){リラックスカカオ};&icon(20,リラックスカカオ);×12&br;&size(11){モーモーミルク};&icon(20,モーモーミルク);×10|55|9010|
|05|&ref(./spicyleekcurry.png,20%);|からくちネギもりカレー&tooltip(&tip;){香ばしく焼いたネギは果実のように甘く、&br;ルーの辛さと絶妙のバランス。};|&size(11){ふといながねぎ};&icon(20,ふといながねぎ);×14&br;&size(8){あったかジンジャー};&icon(20,あったかジンジャー);×10&br;&size(11){げきからハーブ};&icon(20,げきからハーブ);×8|32|5900|
|06|&ref(./sporemushroomcurry.png,20%);|キノコのほうしカレー&tooltip(&tip;){キノコのほうしを浴びたかのように&br;眠れるカレー。};|&size(11){あじわいキノコ};&icon(20,あじわいキノコ);×14&br;&size(11){ほっこりポテト};&icon(20,ほっこりポテト);×9|23|4162|
|07|&ref(./eggbombcurry.png,20%);|おやこあいカレー&tooltip(&tip;){子供にやさしい食材だけでつくった&br;愛情たっぷりカレー。};|あまいミツ&icon(20,あまいミツ);×12&br;&size(11){とくせんリンゴ};&icon(20,とくせんリンゴ);×11&br;&size(11){とくせんエッグ};&icon(20,とくせんエッグ);×8&br;&size(11){ほっこりポテト};&icon(20,ほっこりポテト);×4|35|4523|
|08|&ref(./heartycheeseburgercurry.png,20%);|満腹チーズバーグカレー&tooltip(&tip;){ボリュームたっぷり。&br;カビゴンもびっくり大きなカレー。};|&size(11){モーモーミルク};&icon(20,モーモーミルク);×8&br;マメミート&icon(20,マメミート);×8|16|1910|
|09|&ref(./softpotatochowder.png,20%);|ほっこりホワイトシチュー&tooltip(&tip;){とけてなくなる寸前まで&br;ポテトを煮込んだトロトロシチュー。};|&size(11){モーモーミルク};&icon(20,モーモーミルク);×10&br;&size(11){ほっこりポテト};&icon(20,ほっこりポテト);×8&br;&size(11){あじわいキノコ};&icon(20,あじわいキノコ);×4|22|3181|
|10|&ref(./simplechowder.png,20%);|たんじゅんホワイトシチュー&tooltip(&tip;){ミルクのうまみを感じるシンプルシチュー。};|&size(11){モーモーミルク};&icon(20,モーモーミルク);×7|7|814|
|11|&ref(./beanburgercurry.png,20%);|マメバーグカレー&tooltip(&tip;){マメでつくったやわらかハンバーグが主役。};|マメミート&icon(20,マメミート);×7|7|856|
|12|&ref(./mildhoneycurry.png,20%);|ベイビィハニーカレー&tooltip(&tip;){子供でも食べられる、&br;ミツたっぷりの甘口カレー。};|あまいミツ&icon(20,あまいミツ);×7|7|839|
|13|&ref(./ninjacurry.png,20%);|ニンジャカレー&tooltip(&tip;){ニンジャが好んで食べたと&br;言い伝えられているとうふのカレー。};|ワカクサ大豆&icon(20,ワカクサ大豆);×24&br;マメミート&icon(20,マメミート);×9&br;&size(11){ふといながねぎ};&icon(20,ふといながねぎ);×12&br;&size(11){あじわいキノコ};&icon(20,あじわいキノコ);×5|50|9445|
|14|&ref(./droughtkatsucurry.png,20%);|ひでりカツレツカレー&tooltip(&tip;){揚げたてのカツがキラッと光る。};|マメミート&icon(20,マメミート);×10&br;&size(11){ピュアなオイル};&icon(20,ピュアなオイル);×5|15|1942|
|15|&ref(./meltyomelettecurry.png,20%);|とけるオムカレー&tooltip(&tip;){絶妙な火入れで仕上げたオムレツが&br;舌の上でとけるカレー。};|&size(11){とくせんエッグ};&icon(20,とくせんエッグ);×10&br;&size(11){あんみんトマト};&icon(20,あんみんトマト);×6|16|2150|
